id,city_id,city_name,当前客户,当月新入网客户,当月离网客户,当月离网携出客户,当月离网申销客户,当月离网欠销客户,今年新入网,今年离网客户,今年离网携出客户,今年离网申销客户,今年离网欠销客户,在网客户数,组家客户,宽带客户,集团客户,长机龄客户,出账客户,通信客户,手机上网客户,5G终端客户,5G登网客户,流量超套客户,流量超套客户户均超套费,语音超套客户,语音超套客户户均超套费,APP活跃,国漫渗透率,常漫渗透率,10086呼入客户占比,10086呼出客户占比,投诉客户占比,业务退订客户占比,活动接续客户占比,欠费客户占比,固移融合率,有效融合率,异动客户占比,银发客户占比,国际客户占比,校园客户占比,宽带带宽1000MB,宽带带宽500MB,宽带带宽300MB,宽带带宽200MB,宽带带宽100MB,宽带带宽100MB以下,无宽带中高端客户,FTTR客户,fttr中千兆占比,fttr中全球通占比,TARPU0元及以下,TARPU0_30元,TARPU30_50元,TARPU50_100元,TARPU100_150元,TARPU150_200元,TARPU200_300元,TARPU300元以上,DOU0GB,DOU0_1GB,DOU1_5GB,DOU5_10GB,DOU10_20GB,DOU20_30GB,DOU30_50GB,DOU50_100GB,DOU100_200GB,DOU200GB及以上,网龄0_1年,网龄1_5年,网龄5_10年,网龄10_15年,网龄15_20年,网龄20_30年,网龄30年以上,年龄为空或异常客户,年龄0_18岁,年龄18_25岁,年龄25_35岁,年龄35_45岁,年龄45_55岁,年龄55_60岁,年龄60_65岁,年龄65_70岁,年龄70_100岁,价值下降客户,价值下降总价值,价值提升客户,价值提升总价值,合约客户,合约客户_有效融合口径,终端合约客户,终端客户中高端占比,套餐降档客户,套餐升档客户,套餐实收0元,套餐实收0_10元,套餐实收10_30元,套餐实收30_50元,套餐实收50_80元,套餐实收80_108元,套餐实收108_150元,套餐实收150_200元,套餐实收200_300元,套餐实收300元以上,户均tarpu,户均dou,通用包月流量饱和度,客户主叫mou,客户darpu,通服收入月累计,通服收入增幅,出账客户收入,出账客户收入增幅,c市场收入,h市场收入,b市场收入,n市场收入,移动通信份额,新入网50+客户,新入网75+客户,新入网150+客户,携入携出比
1,240,沈阳,7276252,107410,73044,15657,28695,28016,466806,461712,68507,164068,208157,7276252,1141061,1561874,2035995,975110,7166257,6959794,6196852,5091925,4460293,758385,27.99,758385,27.99,30.83,20.38,3.78,14.78,34.54,2.01,5.06,5.04,1.32,39.91,57.32,7.99,21.04,.98,4.65,389291,282022,415444,162569,301840,5725086,5714378,91009,93.19,54.02,421844,2921239,1312112,1671894,549597,206968,132127,60471,1196615,677328,172244,62273,69155,46818,65422,103497,128725,4754175,618784,1654934,1292195,1673787,1404558,630256,1738,222652,5401,445394,1079586,1919120,1445487,627688,588472,427471,514964,1846608,-46906603.08000,1794933,38833923.57000,1763375,3986393,80546,85.25,52951,31480,595244,1086628,3489465,772417,756320,255374,178204,106679,32665,3256,52.55,15.18,38.04,88.96,36.53,52243.28,6454.16,38321.23,-579.51,33781.31,2189.49,105.78,2244.65,63.54,5546,4366,3480,80.83
2,411,大连,5986320,73791,50609,10573,16897,22799,342146,379423,72986,114943,170850,5986320,924786,1274159,2477444,823837,5873289,5781933,5101158,4103487,3581892,578880,27.49,578880,27.49,28.35,20.16,4.46,12.43,23.87,1.73,4.44,6.37,1.70,43.95,59.57,6.84,21.50,1.17,4.80,404539,202165,278876,156356,230998,4713386,4712161,71579,90.12,70.12,264909,2652081,993196,1270545,447954,194008,113665,49962,987127,633021,145245,54603,61390,40415,56148,88054,109874,3810443,469461,1439787,1326441,1282238,926479,539676,2238,145579,4231,366609,779250,1541931,1309614,552577,474758,352407,459323,1606642,-30595398.46000,1559200,27399179.49000,1477563,3442259,110671,83.98,32411,21914,426537,1166706,2712528,528760,624389,222224,180154,87865,33234,3923,51.39,13.16,36.96,82.02,35.29,35344.65,682.50,30832.08,-124.91,26958.69,1780.47,158.35,1934.58,67.13,5561,4056,3146,81.14
3,412,鞍山,2463757,18265,19440,3685,6006,9573,116445,144188,26673,36334,72500,2463757,392152,584766,1146134,362296,2410856,2375373,2005163,1657949,1427845,228428,25.65,228428,25.65,25.14,19.66,2.54,14.65,27.70,1.74,5.23,5.92,1.27,39.85,60.63,6.31,26.98,.47,2.21,153076,52797,177175,47230,153315,1880164,1878991,28898,94.51,54.60,82778,1207284,494195,460731,124580,46148,27416,20625,501740,297924,65123,22253,24453,16232,22740,35652,44859,1432781,168591,525416,369278,752435,493930,153631,476,40842,685,105256,257143,561499,559037,274698,261342,182798,220445,711384,-18195503.47000,657053,15717817.12000,633941,1439364,46446,69.82,15834,20210,121974,401086,1435744,239782,158344,48598,37337,15837,4608,447,46.34,11.32,35.41,115.31,29.72,13101.33,499.05,11440.36,63.06,9839.15,855.97,29.77,715.47,65.04,9417,9136,6664,75.10
4,413,抚顺,1240879,8843,11343,3895,3194,4157,56819,79211,23473,20725,30316,1240879,191307,349709,380595,177465,1213130,1181408,974260,809856,698508,108026,25.19,108026,25.19,25.07,11.93,3.29,12.72,26.43,1.71,4.37,5.32,1.87,45.68,60.93,5.55,32.29,1.07,2.87,100004,71109,63688,25580,88543,891955,891170,29212,92.54,44.26,70112,595976,261022,219251,56754,19377,12344,6043,292164,102816,27105,10644,12049,7780,11008,17555,22381,737377,86334,310016,188662,300341,243107,112076,343,29480,425,52681,110607,244154,259405,143427,153977,116118,130600,304421,-7060757.72000,292806,5374162.73000,277632,719134,9468,55.16,4704,3349,89038,182343,689367,143778,86620,24533,16396,6982,1669,153,41.20,10.88,33.75,83.46,27.04,5536.77,-61.62,5131.42,-120.76,4424.51,384.12,13.10,309.68,60.87,1432,1174,814,83.72
5,414,本溪,993435,7843,9074,2540,2516,3964,47864,68039,16863,17312,30212,993435,157713,255770,487194,157769,961464,942759,784755,644186,555713,82872,24.35,82872,24.35,25.22,17.61,2.70,13.15,27.72,2.02,4.29,6.31,1.69,46.67,66.40,5.46,30.97,.55,2.44,83564,27562,63265,25226,55743,738075,737665,16984,87.90,57.99,53232,471671,196372,183573,50938,18233,11685,7731,228266,90981,25722,9687,10663,6854,9593,15243,18851,577575,67036,203018,130286,231083,257639,104217,156,35045,354,41609,78005,201205,212388,117185,121161,87603,98873,267861,-6091538.50000,257864,5262306.86000,231453,625430,23362,75.94,4774,2143,88552,186275,529846,87231,57965,16990,15663,8126,2499,288,44.59,10.17,34.77,125.94,28.51,5126.31,-36.62,4443.63,-37.32,3732.72,289.15,29.22,392.54,63.42,1201,1049,615,70.02
6,415,丹东,1610093,9649,13184,2593,2390,8062,68719,109541,21262,18487,63016,1610093,261707,411461,725188,228840,1591739,1553604,1353335,1067750,939273,156533,27.44,156533,27.44,22.88,20.01,2.58,12.26,28.37,1.57,3.89,5.63,1.49,45.14,64.70,7.29,28.83,.63,1.89,114814,70623,92916,27550,102801,1201389,1198632,23626,92.33,57.11,53407,683503,315996,370200,104986,39922,24450,17629,282605,195634,35734,14465,17390,11406,16099,25854,33068,977838,106184,396062,275723,376498,321091,134388,147,29494,573,73514,154933,329006,370511,187889,176376,124910,162876,445949,-11825852.41000,418605,10145072.49000,397596,1004727,43186,83.46,11585,6078,83354,176229,901706,214705,139651,41166,34115,15114,3642,411,52.22,9.28,32.74,113.73,34.33,8908.10,-225.09,8422.66,-86.45,7293.83,581.77,19.00,528.06,66.60,1895,1547,1210,82.30
7,416,锦州,1925268,15946,15992,3983,4741,7141,98567,117275,23560,34518,54068,1925268,309681,485478,620908,268746,1890860,1863949,1498537,1329263,1147306,172184,25.25,172184,25.25,25.32,28.13,3.10,13.54,27.65,1.65,4.57,5.45,1.21,41.52,58.69,6.58,26.20,.30,3.34,141475,32167,167534,39777,100159,1444156,1439790,28495,87.29,43.37,76586,990767,379627,324427,89903,31586,19156,13216,468459,197226,49331,19438,21265,13913,19130,29127,35793,1071586,138328,388723,295715,573430,385291,143339,442,29643,865,111417,211880,409025,441827,216217,197630,133619,173132,588881,-12610658.55000,554326,11069586.69000,384436,1093136,30135,81.80,8114,6965,125451,420476,1108989,118208,94934,22615,20937,10557,2800,301,41.95,11.03,29.43,109.51,24.80,9069.86,-72.36,8095.12,-94.92,6785.95,614.74,37.26,657.16,65.86,1450,1192,819,82.77
8,417,营口,1782780,13339,13973,3724,3900,6219,84330,104041,26173,25160,47296,1782780,294425,452026,635949,259463,1769044,1713404,1481914,1163833,1018863,177863,25.67,177863,25.67,24.77,24.80,2.80,14.02,27.13,1.63,5.07,4.83,1.48,46.73,67.05,6.41,24.44,.42,1.91,153493,58344,121789,27927,89094,1332133,1330754,27278,97.51,46.92,70283,762762,340080,405072,118357,44397,26752,15077,329763,196904,41680,15772,18159,12157,16922,26818,33826,1090779,115903,373710,326811,497142,366936,102151,127,38018,1315,78836,177413,468413,396006,187164,167574,113801,154226,516456,-14353097.95000,479869,10838207.05000,470338,1148005,37881,78.01,9349,7118,116954,204610,973657,204742,169065,50433,38459,18044,6122,694,51.92,11.07,34.96,114.36,33.89,10623.30,-251.95,9278.65,-104.76,8056.90,558.77,40.87,622.11,68.94,3953,3705,3107,77.18
9,418,阜新,1294869,11190,10295,2732,3089,4386,54826,77297,21043,19537,33000,1294869,218779,317871,587080,210668,1264347,1227093,1013370,848223,733407,124512,24.68,124512,24.68,23.00,20.93,3.43,13.44,32.83,1.59,4.39,5.68,1.41,42.35,60.06,5.99,25.57,.29,2.64,96943,15003,81455,11964,99629,989875,976998,19422,90.55,55.32,68437,602953,285496,246693,54209,18343,10338,8400,307767,128844,34001,13641,15102,10127,14021,22230,28139,720997,73296,238866,222415,353166,304900,102167,59,38526,594,59432,138002,275669,296440,155169,138035,89532,103458,414378,-8745308.34000,402098,8878387.47000,285090,736499,15404,74.69,4286,4516,98200,161684,878779,78393,47236,13415,10475,4899,1581,207,43.51,8.32,35.78,119.59,25.80,6513.25,574.01,5647.17,97.70,4530.78,423.43,26.60,666.35,69.30,1766,1513,1085,44.02
10,419,辽阳,1244071,9608,10463,2630,3295,4436,53819,88054,17686,26467,40651,1244071,194423,269618,600561,176424,1234016,1142441,947615,781641,675023,103397,25.09,103397,25.09,22.64,18.32,2.54,13.83,27.38,1.78,4.70,4.51,2.00,39.24,61.31,6.12,23.97,.51,6.25,82691,36108,88265,16103,45987,974917,974453,18024,88.07,51.00,103234,595827,238480,209791,55613,19424,11534,10168,327272,135776,28332,10311,11619,7584,10591,16432,20235,675919,80358,234031,250574,289062,295643,94142,261,90173,315,46950,121568,251754,297747,137328,118866,78631,100736,347781,-7057673.10000,338277,7100824.10000,251317,699915,17339,72.01,7376,11141,140463,191230,699793,103526,64787,21852,14040,6537,1685,158,41.37,10.86,32.96,98.13,26.09,5435.73,-136.75,5161.30,89.40,4338.52,307.22,21.37,494.19,66.11,1490,1373,1078,78.55
